id,type,ic11,ic12,ic21,ic22,ic31,ic32
erase01_2021-11-23_11-21-28_1092_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-28_1271_101.png,"['ic11', 'ic31']",1,0,0,0,1,0
erase01_2021-11-23_11-21-28_1335_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-28_1590_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-28_1738_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-28_1743_201.png,"['ic12', 'ic31']",0,1,0,0,1,0
erase01_2021-11-23_11-21-28_1748_010.png,['ic21'],0,0,1,0,0,0
erase01_2021-11-23_11-21-28_1780_011.png,"['ic21', 'ic31']",0,0,1,0,1,0
erase01_2021-11-23_11-21-28_1818_110.png,"['ic11', 'ic21']",1,0,1,0,0,0
erase01_2021-11-23_11-21-28_2245_001.png,['ic31'],0,0,0,0,1,0
erase01_2021-11-23_11-21-28_2378_222.png,"['ic12', 'ic22', 'ic32']",0,1,0,1,0,1
erase01_2021-11-23_11-21-28_3717_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-28_3847_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-28_3875_021.png,"['ic22', 'ic31']",0,0,0,1,1,0
erase01_2021-11-23_11-21-28_4114_210.png,"['ic12', 'ic21']",0,1,1,0,0,0
erase01_2021-11-23_11-21-28_4198_011.png,"['ic21', 'ic31']",0,0,1,0,1,0
erase01_2021-11-23_11-21-28_4200_021.png,"['ic22', 'ic31']",0,0,0,1,1,0
erase01_2021-11-23_11-21-28_4531_111.png,"['ic11', 'ic21', 'ic31']",1,0,1,0,1,0
erase01_2021-11-23_11-21-28_4636_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-28_4918_200.png,['ic12'],0,1,0,0,0,0
erase01_2021-11-23_11-21-28_5187_112.png,"['ic11', 'ic21', 'ic32']",1,0,1,0,0,1
erase01_2021-11-23_11-21-28_5414_110.png,"['ic11', 'ic21']",1,0,1,0,0,0
erase01_2021-11-23_11-21-28_5583_002.png,['ic32'],0,0,0,0,0,1
erase01_2021-11-23_11-21-28_5623_202.png,"['ic12', 'ic32']",0,1,0,0,0,1
erase01_2021-11-23_11-21-28_5732_200.png,['ic12'],0,1,0,0,0,0
erase01_2021-11-23_11-21-28_5746_222.png,"['ic12', 'ic22', 'ic32']",0,1,0,1,0,1
erase01_2021-11-23_11-21-28_5845_211.png,"['ic12', 'ic21', 'ic31']",0,1,1,0,1,0
erase01_2021-11-23_11-21-28_5983_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-28_6036_212.png,"['ic12', 'ic21', 'ic32']",0,1,1,0,0,1
erase01_2021-11-23_11-21-28_6241_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-28_6256_211.png,"['ic12', 'ic21', 'ic31']",0,1,1,0,1,0
erase01_2021-11-23_11-21-28_6281_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-28_6674_101.png,"['ic11', 'ic31']",1,0,0,0,1,0
erase01_2021-11-23_11-21-28_6704_001.png,['ic31'],0,0,0,0,1,0
erase01_2021-11-23_11-21-28_6884_202.png,"['ic12', 'ic32']",0,1,0,0,0,1
erase01_2021-11-23_11-21-28_6918_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-28_6942_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-28_7203_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-28_7621_210.png,"['ic12', 'ic21']",0,1,1,0,0,0
erase01_2021-11-23_11-21-28_7655_202.png,"['ic12', 'ic32']",0,1,0,0,0,1
erase01_2021-11-23_11-21-28_7684_202.png,"['ic12', 'ic32']",0,1,0,0,0,1
erase01_2021-11-23_11-21-28_7899_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-28_8252_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-28_8383_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-28_8616_200.png,['ic12'],0,1,0,0,0,0
erase01_2021-11-23_11-21-28_8660_001.png,['ic31'],0,0,0,0,1,0
erase01_2021-11-23_11-21-28_8775_122.png,"['ic11', 'ic22', 'ic32']",1,0,0,1,0,1
erase01_2021-11-23_11-21-28_8938_212.png,"['ic12', 'ic21', 'ic32']",0,1,1,0,0,1
erase01_2021-11-23_11-21-28_9188_012.png,"['ic21', 'ic32']",0,0,1,0,0,1
erase01_2021-11-23_11-21-28_9307_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-28_9630_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-28_9682_122.png,"['ic11', 'ic22', 'ic32']",1,0,0,1,0,1
erase01_2021-11-23_11-21-28_9926_112.png,"['ic11', 'ic21', 'ic32']",1,0,1,0,0,1
erase01_2021-11-23_11-21-29_1018_110.png,"['ic11', 'ic21']",1,0,1,0,0,0
erase01_2021-11-23_11-21-29_1092_201.png,"['ic12', 'ic31']",0,1,0,0,1,0
erase01_2021-11-23_11-21-29_1171_200.png,['ic12'],0,1,0,0,0,0
erase01_2021-11-23_11-21-29_1191_021.png,"['ic22', 'ic31']",0,0,0,1,1,0
erase01_2021-11-23_11-21-29_1252_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-29_1515_012.png,"['ic21', 'ic32']",0,0,1,0,0,1
erase01_2021-11-23_11-21-29_1668_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-29_1674_202.png,"['ic12', 'ic32']",0,1,0,0,0,1
erase01_2021-11-23_11-21-29_1875_222.png,"['ic12', 'ic22', 'ic32']",0,1,0,1,0,1
erase01_2021-11-23_11-21-29_2178_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-29_2479_002.png,['ic32'],0,0,0,0,0,1
erase01_2021-11-23_11-21-29_2490_220.png,"['ic12', 'ic22']",0,1,0,1,0,0
erase01_2021-11-23_11-21-29_2521_222.png,"['ic12', 'ic22', 'ic32']",0,1,0,1,0,1
erase01_2021-11-23_11-21-29_2585_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-29_2631_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-29_2722_200.png,['ic12'],0,1,0,0,0,0
erase01_2021-11-23_11-21-29_2788_011.png,"['ic21', 'ic31']",0,0,1,0,1,0
erase01_2021-11-23_11-21-29_2833_011.png,"['ic21', 'ic31']",0,0,1,0,1,0
erase01_2021-11-23_11-21-29_2842_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-29_2891_222.png,"['ic12', 'ic22', 'ic32']",0,1,0,1,0,1
erase01_2021-11-23_11-21-29_3084_210.png,"['ic12', 'ic21']",0,1,1,0,0,0
erase01_2021-11-23_11-21-29_3261_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-29_3287_212.png,"['ic12', 'ic21', 'ic32']",0,1,1,0,0,1
erase01_2021-11-23_11-21-29_3408_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-29_3450_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-29_3492_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-29_3579_212.png,"['ic12', 'ic21', 'ic32']",0,1,1,0,0,1
erase01_2021-11-23_11-21-29_3602_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-29_3678_101.png,"['ic11', 'ic31']",1,0,0,0,1,0
erase01_2021-11-23_11-21-29_3856_200.png,['ic12'],0,1,0,0,0,0
erase01_2021-11-23_11-21-29_3974_210.png,"['ic12', 'ic21']",0,1,1,0,0,0
erase01_2021-11-23_11-21-29_3994_200.png,['ic12'],0,1,0,0,0,0
erase01_2021-11-23_11-21-29_4067_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-29_4114_201.png,"['ic12', 'ic31']",0,1,0,0,1,0
erase01_2021-11-23_11-21-29_4162_112.png,"['ic11', 'ic21', 'ic32']",1,0,1,0,0,1
erase01_2021-11-23_11-21-29_4226_210.png,"['ic12', 'ic21']",0,1,1,0,0,0
erase01_2021-11-23_11-21-29_4692_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-29_4816_111.png,"['ic11', 'ic21', 'ic31']",1,0,1,0,1,0
erase01_2021-11-23_11-21-29_4855_212.png,"['ic12', 'ic21', 'ic32']",0,1,1,0,0,1
erase01_2021-11-23_11-21-29_4888_001.png,['ic31'],0,0,0,0,1,0
erase01_2021-11-23_11-21-29_4997_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-29_5088_102.png,"['ic11', 'ic32']",1,0,0,0,0,1
erase01_2021-11-23_11-21-29_5375_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-29_5584_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-29_5649_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-29_5697_012.png,"['ic21', 'ic32']",0,0,1,0,0,1
erase01_2021-11-23_11-21-29_5834_212.png,"['ic12', 'ic21', 'ic32']",0,1,1,0,0,1
erase01_2021-11-23_11-21-29_5927_202.png,"['ic12', 'ic32']",0,1,0,0,0,1
erase01_2021-11-23_11-21-29_5992_102.png,"['ic11', 'ic32']",1,0,0,0,0,1
erase01_2021-11-23_11-21-29_6289_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-29_6373_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-29_6378_122.png,"['ic11', 'ic22', 'ic32']",1,0,0,1,0,1
erase01_2021-11-23_11-21-29_6416_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-29_6441_222.png,"['ic12', 'ic22', 'ic32']",0,1,0,1,0,1
erase01_2021-11-23_11-21-29_6446_021.png,"['ic22', 'ic31']",0,0,0,1,1,0
erase01_2021-11-23_11-21-29_6537_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-29_6876_111.png,"['ic11', 'ic21', 'ic31']",1,0,1,0,1,0
erase01_2021-11-23_11-21-29_7047_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-29_7148_002.png,['ic32'],0,0,0,0,0,1
erase01_2021-11-23_11-21-29_7282_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-29_7321_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-29_7361_002.png,['ic32'],0,0,0,0,0,1
erase01_2021-11-23_11-21-29_7476_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-29_7564_112.png,"['ic11', 'ic21', 'ic32']",1,0,1,0,0,1
erase01_2021-11-23_11-21-29_7686_210.png,"['ic12', 'ic21']",0,1,1,0,0,0
erase01_2021-11-23_11-21-29_7725_210.png,"['ic12', 'ic21']",0,1,1,0,0,0
erase01_2021-11-23_11-21-29_8063_212.png,"['ic12', 'ic21', 'ic32']",0,1,1,0,0,1
erase01_2021-11-23_11-21-29_8682_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-29_8733_021.png,"['ic22', 'ic31']",0,0,0,1,1,0
erase01_2021-11-23_11-21-29_8854_001.png,['ic31'],0,0,0,0,1,0
erase01_2021-11-23_11-21-29_8883_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-29_8931_211.png,"['ic12', 'ic21', 'ic31']",0,1,1,0,1,0
erase01_2021-11-23_11-21-29_8987_010.png,['ic21'],0,0,1,0,0,0
erase01_2021-11-23_11-21-29_8998_012.png,"['ic21', 'ic32']",0,0,1,0,0,1
erase01_2021-11-23_11-21-29_9015_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-29_9045_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-29_9275_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-29_9295_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-29_9586_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-29_9713_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-30_1013_122.png,"['ic11', 'ic22', 'ic32']",1,0,0,1,0,1
erase01_2021-11-23_11-21-30_1071_111.png,"['ic11', 'ic21', 'ic31']",1,0,1,0,1,0
erase01_2021-11-23_11-21-30_1341_211.png,"['ic12', 'ic21', 'ic31']",0,1,1,0,1,0
erase01_2021-11-23_11-21-30_1359_102.png,"['ic11', 'ic32']",1,0,0,0,0,1
erase01_2021-11-23_11-21-30_1429_001.png,['ic31'],0,0,0,0,1,0
erase01_2021-11-23_11-21-30_1511_221.png,"['ic12', 'ic22', 'ic31']",0,1,0,1,1,0
erase01_2021-11-23_11-21-30_1800_100.png,['ic11'],1,0,0,0,0,0
erase01_2021-11-23_11-21-30_2035_211.png,"['ic12', 'ic21', 'ic31']",0,1,1,0,1,0
erase01_2021-11-23_11-21-30_2125_202.png,"['ic12', 'ic32']",0,1,0,0,0,1
erase01_2021-11-23_11-21-30_2138_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-30_2273_121.png,"['ic11', 'ic22', 'ic31']",1,0,0,1,1,0
erase01_2021-11-23_11-21-30_2481_111.png,"['ic11', 'ic21', 'ic31']",1,0,1,0,1,0
erase01_2021-11-23_11-21-30_2514_020.png,['ic22'],0,0,0,1,0,0
erase01_2021-11-23_11-21-30_2591_022.png,"['ic22', 'ic32']",0,0,0,1,0,1
erase01_2021-11-23_11-21-30_2729_112.png,"['ic11', 'ic21', 'ic32']",1,0,1,0,0,1
erase01_2021-11-23_11-21-30_2799_011.png,"['ic21', 'ic31']",0,0,1,0,1,0
erase01_2021-11-23_11-21-30_2996_120.png,"['ic11', 'ic22']",1,0,0,1,0,0
erase01_2021-11-23_11-21-30_3042_201.png,"['ic12', 'ic31']",0,1,0,0,1,0
